model,model_type,id_dataset,ood_dataset,score,AUROC,AUPR
ce,CEBaseline,fashionmnist_embedded,kmnist_embedded,confidence_alea_uncert.,94.19367379282183,95.65381600470396
ce,CEBaseline,fashionmnist_embedded,kmnist_embedded,entropy_of_expected,94.9231116731035,96.03788940446145
ce,CEBaseline,fashionmnist_embedded,kmnist_embedded,expected_entropy,94.86674139961251,96.00571395016755
ce,CEBaseline,fashionmnist_embedded,kmnist_embedded,mutual_information,94.92477800635349,95.71846725587994
ce,CEBaseline,fashionmnist_embedded,kmnist_embedded,EPKL,94.96674639961246,95.75166161073017
ce,CEBaseline,fashionmnist_embedded,kmnist_embedded,differential_entropy,94.75101425534092,95.62504237104297
ce,CEBaseline,fashionmnist_embedded,kmnist_embedded,p(x),94.96674689971249,95.75166031087745
ce,CEBaseline,fashionmnist_embedded,kmnist_embedded,max p(y|x),93.50733053103289,95.23227497281368
ce,CEBaseline,fashionmnist_embedded,mnist_embedded,confidence_alea_uncert.,92.15026813212374,94.1403763890414
ce,CEBaseline,fashionmnist_embedded,mnist_embedded,entropy_of_expected,93.37041114852559,94.79941281133063
ce,CEBaseline,fashionmnist_embedded,mnist_embedded,expected_entropy,93.25955897920024,94.73283894224211
ce,CEBaseline,fashionmnist_embedded,mnist_embedded,mutual_information,95.15008106471214,96.009585855401
ce,CEBaseline,fashionmnist_embedded,mnist_embedded,EPKL,95.19330870980889,96.04280604828855
ce,CEBaseline,fashionmnist_embedded,mnist_embedded,differential_entropy,94.83078520873389,95.79598735155331
ce,CEBaseline,fashionmnist_embedded,mnist_embedded,p(x),95.19330820970887,96.04280532094485
ce,CEBaseline,fashionmnist_embedded,mnist_embedded,max p(y|x),90.92015512182282,93.33170786571054
ce,CEBaseline,fashionmnist_embedded,uniform_noise_embedded,confidence_alea_uncert.,95.71689942271556,97.33000935483803
ce,CEBaseline,fashionmnist_embedded,uniform_noise_embedded,entropy_of_expected,98.32235748827406,98.89060036726669
ce,CEBaseline,fashionmnist_embedded,uniform_noise_embedded,expected_entropy,98.21652732329939,98.82364392909304
ce,CEBaseline,fashionmnist_embedded,uniform_noise_embedded,mutual_information,99.15391279101908,99.44589422566219
ce,CEBaseline,fashionmnist_embedded,uniform_noise_embedded,EPKL,99.16027906421006,99.44916811086256
ce,CEBaseline,fashionmnist_embedded,uniform_noise_embedded,differential_entropy,99.0511162327354,99.38659064251671
ce,CEBaseline,fashionmnist_embedded,uniform_noise_embedded,p(x),99.16027806401003,99.44916707680439
ce,CEBaseline,fashionmnist_embedded,uniform_noise_embedded,max p(y|x),93.93291964459974,96.37856574181299
ce,CEBaseline,fashionmnist_embedded,gaussian_noise_embedded,confidence_alea_uncert.,97.03129528874479,98.09838692431457
ce,CEBaseline,fashionmnist_embedded,gaussian_noise_embedded,entropy_of_expected,99.06200541046204,99.38094978532622
ce,CEBaseline,fashionmnist_embedded,gaussian_noise_embedded,expected_entropy,98.97890679156924,99.33008230344585
ce,CEBaseline,fashionmnist_embedded,gaussian_noise_embedded,mutual_information,99.59368474101133,99.7264883408016
ce,CEBaseline,fashionmnist_embedded,gaussian_noise_embedded,EPKL,99.59923385077782,99.72968117599048
ce,CEBaseline,fashionmnist_embedded,gaussian_noise_embedded,differential_entropy,99.51157832054831,99.67800402980474
ce,CEBaseline,fashionmnist_embedded,gaussian_noise_embedded,p(x),99.59923385077782,99.72968117599048
ce,CEBaseline,fashionmnist_embedded,gaussian_noise_embedded,max p(y|x),95.00358776751763,97.00589284751811
ce,CEBaseline,fashionmnist_embedded,notmnist_embedded,confidence_alea_uncert.,93.1266513990133,94.4997544731192
ce,CEBaseline,fashionmnist_embedded,notmnist_embedded,entropy_of_expected,94.09619129729755,95.01084670445277
ce,CEBaseline,fashionmnist_embedded,notmnist_embedded,expected_entropy,94.0381256847557,94.97733586069373
ce,CEBaseline,fashionmnist_embedded,notmnist_embedded,mutual_information,94.4493799314925,94.67946333271274
ce,CEBaseline,fashionmnist_embedded,notmnist_embedded,EPKL,94.4700840721136,94.69825420619966
ce,CEBaseline,fashionmnist_embedded,notmnist_embedded,differential_entropy,94.38110127644428,94.68276825887389
ce,CEBaseline,fashionmnist_embedded,notmnist_embedded,p(x),94.47008407211356,94.69825340410672
ce,CEBaseline,fashionmnist_embedded,notmnist_embedded,max p(y|x),92.40437845164654,94.0945419935793
px,MCMC,fashionmnist_embedded,kmnist_embedded,p(x),48.714939000650745,66.53249932355116
px,MCMC,fashionmnist_embedded,mnist_embedded,p(x),50.52888477166548,66.26360156370569
px,MCMC,fashionmnist_embedded,uniform_noise_embedded,p(x),99.86261852507883,99.88483620034474
px,MCMC,fashionmnist_embedded,gaussian_noise_embedded,p(x),99.98596719357904,99.98606062947844
px,MCMC,fashionmnist_embedded,notmnist_embedded,p(x),49.799779457893784,64.20119020727644
supervised,MCMC,fashionmnist_embedded,kmnist_embedded,p(x),49.212889085688246,61.70972156041672
supervised,MCMC,fashionmnist_embedded,mnist_embedded,p(x),44.132511560987076,56.316697877306964
supervised,MCMC,fashionmnist_embedded,uniform_noise_embedded,p(x),0.0642318457268269,30.687957630995726
supervised,MCMC,fashionmnist_embedded,gaussian_noise_embedded,p(x),0.03869773916085475,30.687837232535763
supervised,MCMC,fashionmnist_embedded,notmnist_embedded,p(x),49.901683337650695,55.93092705013838
px,VERA,fashionmnist_embedded,kmnist_embedded,p(x),46.253499237312475,64.34665147548263
px,VERA,fashionmnist_embedded,mnist_embedded,p(x),49.402439493874375,65.87332448435423
px,VERA,fashionmnist_embedded,uniform_noise_embedded,p(x),82.2020335846966,88.85597569927418
px,VERA,fashionmnist_embedded,gaussian_noise_embedded,p(x),83.65072530855446,89.88025438678821
px,VERA,fashionmnist_embedded,notmnist_embedded,p(x),45.66014807301312,60.5756362335202
supervised,VERA,fashionmnist_embedded,kmnist_embedded,p(x),61.1068337556828,70.9823646265473
supervised,VERA,fashionmnist_embedded,mnist_embedded,p(x),53.44060358631122,64.81800278890107
supervised,VERA,fashionmnist_embedded,uniform_noise_embedded,p(x),35.91985711222387,58.02302258578569
supervised,VERA,fashionmnist_embedded,gaussian_noise_embedded,p(x),33.10941855261634,56.50230894128858
supervised,VERA,fashionmnist_embedded,notmnist_embedded,p(x),73.33888004261972,80.6540838493667
